# Created by Octave 4.2.1, Thu Apr 19 23:33:30 2018 CEST <angel@angel-Lenovo-G50-80>
# name: Resultados_Originales
# type: matrix
# rows: 40
# columns: 2
 1 5.6331
 2 5.6331
 3 5.6331
 4 5.6331
 5 5.6331
 6 5.6331
 7 5.6331
 8 5.6331
 9 5.6331
 10 5.6331
 11 5.6331
 12 5.6331
 13 5.6331
 14 5.6331
 15 5.6331
 16 5.6331
 17 5.6331
 18 5.6331
 19 5.6331
 20 5.6331
 21 5.6331
 22 5.6331
 23 5.6331
 24 5.6331
 25 5.6331
 26 5.6331
 27 5.6331
 28 5.6331
 29 5.6331
 30 5.6331
 31 5.6331
 32 5.6331
 33 5.6331
 34 5.6331
 35 5.6331
 36 5.6331
 37 5.6331
 38 5.6331
 39 5.6331
 40 5.6331


