# Created by Octave 4.2.1, Thu Apr 19 23:33:30 2018 CEST <angel@angel-Lenovo-G50-80>
# name: Resultados_PCA
# type: matrix
# rows: 40
# columns: 2
 1 64.257
 2 51.695
 3 43.22
 4 29.462
 5 25.174
 6 20.738
 7 17.049
 8 14.706
 9 12.712
 10 10.369
 11 9.4716
 12 8.2752
 13 7.2283
 14 7.328
 15 7.0788
 16 6.7797
 17 6.6301
 18 6.5304
 19 6.1316
 20 6.2313
 21 5.9821
 22 5.6331
 23 5.6331
 24 5.6331
 25 5.3838
 26 5.334
 27 5.2841
 28 5.2343
 29 5.3838
 30 5.4337
 31 5.334
 32 5.1844
 33 5.2343
 34 5.2343
 35 5.1844
 36 5.0349
 37 5.1346
 38 5.1346
 39 4.8853
 40 4.9352


